"sa1_2021","australian_ancestry","chinese_ancestry","vietnamese_ancestry","indian_ancestry","filipino_ancestry","in_tertiary_education","christianity","islam","no_religion","bachelor_degree","postgrad_degree","owned_outright","owned_with_a_mortgage","rented","total_dwellings","under_18","age_18_29","age_30_49","age_over50","total","bus","walk","bike","tram_light_rail","car_passenger","car_driver"
"80101100101",68,7,3,3,0,24,88,0,99,60,42,36,42,8,102,57,24,64,93,243,7,4,8,0,4,65
"80101100102",83,12,0,8,0,24,92,5,154,74,65,49,59,22,136,89,44,83,131,347,21,0,7,0,4,97
"80101100103",68,20,0,7,0,33,88,3,115,60,51,35,46,44,149,86,43,72,107,311,9,7,6,0,6,82
"80101100104",109,17,0,4,0,28,104,0,202,102,96,76,66,22,178,102,46,101,175,423,16,0,12,0,5,120
"80101100105",153,6,0,5,0,33,137,0,246,143,78,106,66,24,208,133,62,111,222,531,11,3,7,0,6,144
"80101100106",111,17,4,4,0,27,103,0,209,110,86,90,62,22,191,96,47,108,180,426,18,3,10,0,11,123
"80101100201",79,9,7,3,12,50,88,14,135,70,22,32,41,122,226,40,82,97,76,300,22,14,4,0,5,84
"80101100202",68,11,0,3,4,29,74,6,107,38,16,16,32,107,179,50,44,90,69,258,11,9,8,0,6,77
"80101100203",151,20,6,23,3,83,119,17,226,149,76,32,74,244,380,44,146,176,85,453,53,39,0,0,7,190
"80101100205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80101100208",88,13,7,5,9,38,73,7,160,77,41,30,59,100,221,50,67,113,77,308,27,17,12,0,5,98
"80101100209",37,10,10,4,5,16,44,7,69,24,13,10,23,86,142,17,36,59,39,145,10,5,7,0,5,37
"80101100210",90,11,9,4,5,30,87,9,141,71,40,43,37,79,196,33,64,87,103,287,7,6,0,0,7,88
"80101100211",96,21,4,17,11,53,127,11,164,106,32,34,63,161,294,71,102,137,74,387,24,21,3,0,14,123
"80101100212",115,15,0,8,3,18,251,3,131,100,49,60,15,60,256,45,43,47,315,449,6,3,7,0,0,54
"80101100213",5,0,0,0,0,0,3,0,3,8,0,0,0,13,16,0,5,5,0,15,0,0,0,0,0,0
"80101100215",84,26,8,17,4,54,73,7,172,95,46,29,83,176,326,22,118,124,40,300,38,27,0,0,14,114
"80101100216",181,34,13,28,14,124,189,20,272,166,66,50,158,507,928,59,275,185,67,582,63,61,5,0,25,208
"80101100217",66,17,0,7,3,38,67,6,118,62,36,33,29,121,217,14,70,71,61,211,29,14,0,0,4,64
"80101100218",97,26,4,23,8,56,93,12,170,129,49,13,75,214,338,24,145,129,41,342,41,35,0,0,12,147
"80101100219",83,22,8,11,11,46,64,7,155,92,44,6,35,184,245,21,129,98,27,277,32,34,0,0,8,111
"80101100220",43,10,0,10,6,32,36,3,82,37,13,3,31,90,141,20,53,62,21,154,13,22,0,0,8,50
"80101100221",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80101100222",91,36,0,13,15,47,105,13,182,119,62,32,55,238,376,36,114,145,75,365,41,29,0,0,9,129
"80101100223",3,0,0,0,0,0,10,0,0,3,0,0,0,0,8,0,3,4,6,11,0,0,0,0,0,4
"80101100224",36,7,0,5,3,91,31,0,90,14,6,0,0,0,0,0,128,6,0,136,12,10,0,0,4,28
"80101100225",69,28,0,16,7,45,76,8,124,82,41,40,53,117,249,20,78,86,73,254,33,24,0,0,7,76
"80101100301",79,30,5,6,9,53,69,5,126,79,49,18,43,101,173,43,101,93,39,274,27,7,4,0,5,120
"80101100304",192,53,9,23,10,121,200,23,285,183,98,29,110,242,432,97,211,237,116,663,34,8,14,0,27,297
"80101100306",77,10,5,8,5,52,119,3,140,95,47,47,47,74,190,47,95,108,76,327,19,4,11,0,9,110
"80101100307",53,18,5,8,0,31,57,4,69,51,19,26,14,49,101,21,50,53,44,171,12,0,3,0,12,66
"80101100308",236,24,7,20,6,435,323,20,427,64,12,0,0,0,7,0,740,31,68,848,44,77,4,0,10,228
"80101100309",46,10,0,9,9,51,75,0,105,74,29,6,37,67,121,39,83,70,42,239,11,0,9,0,10,107
"80101100310",33,9,6,9,5,17,56,0,57,56,28,24,24,28,82,37,34,57,52,171,3,0,12,0,8,71
