sa1_2021,electorate
80101100101,Canberra
80101100102,Canberra
80101100103,Canberra
80101100201,Fenner
80101100202,Fenner
80101100203,Fenner
80101100208,Fenner
80101100210,Fenner
80101100211,Fenner
80101100213,Fenner
80101100216,Fenner
80101100217,Fenner
80101100218,Fenner
80101100219,Fenner
80101100224,Fenner
80101100225,Fenner
80101100301,Canberra
80101100308,Canberra
80101100310,Canberra
80101100311,Canberra
80101100316,Canberra
80101100317,Canberra
80101100318,Canberra
80101100319,Canberra
80101100322,Canberra
80101100402,Fenner
80101100403,Fenner
80101100408,Fenner
80101100409,Fenner
80101100501,Canberra
80101100502,Canberra
80101100503,Canberra
80101100508,Canberra
80101100509,Canberra
80101100602,Fenner
80101100608,Fenner
80101100609,Fenner
80101100614,Fenner
80101100615,Fenner
80101100616,Fenner
80101100617,Fenner
80101100622,Fenner
80101100623,Fenner
80101100701,Fenner
80101100702,Fenner
80101100703,Fenner
80101100706,Fenner
80101100707,Fenner
80101100708,Fenner
80101100709,Fenner
80101100714,Fenner
80101100801,Fenner
80101100806,Fenner
80101100807,Fenner
80101100808,Fenner
80101100809,Fenner
80101100901,Fenner
80101100906,Fenner
80101100907,Fenner
80101100908,Fenner
80101100909,Fenner
80101101001,Fenner
80101101101,Canberra
80101101106,Canberra
80101101108,Canberra
80101101109,Canberra
80101101203,Fenner
80101101301,Canberra
80101101306,Canberra
80101101307,Canberra
80101101308,Canberra
80101101401,Fenner
80101101406,Fenner
80101101407,Fenner
80101101504,Fenner
80101101505,Fenner
80101101506,Fenner
80101101512,Fenner
80101101513,Fenner
80101101515,Fenner
80101101604,Canberra
80101101605,Canberra
80101101606,Canberra
80101101607,Canberra
80101101612,Canberra
80101101613,Canberra
80101101614,Canberra
80101101615,Canberra
80101101617,Canberra
80101101704,Fenner
80101101705,Fenner
80101101706,Fenner
80101101707,Fenner
80101101805,Canberra
80101101806,Canberra
80101101807,Canberra
80101101809,Canberra
80101101902,Fenner
80101101904,Fenner
80101101906,Fenner
80101101907,Fenner
80101101912,Fenner
80101101913,Fenner
80101101914,Fenner
80101101915,Fenner
80101102004,Canberra
80101102005,Canberra
80101102006,Canberra
80101102007,Canberra
80101102104,Fenner
80101102105,Fenner
80101102204,Fenner
80101102205,Fenner
80101102206,Fenner
80101102207,Fenner
80101102304,Fenner
80101102305,Fenner
80101102402,Fenner
80101102403,Fenner
80101102404,Fenner
80101102405,Fenner
80101102502,Fenner
80101102503,Fenner
80101102504,Fenner
80101102505,Fenner
80101102602,Canberra
80101102603,Canberra
80101102605,Canberra
80103111301,Canberra
80103111304,Bean
80103111307,Canberra
80103111309,Bean
80103111401,Canberra
80103111506,Canberra
80104103402,Fenner
80104103404,Fenner
80104103405,Fenner
80104103407,Fenner
80104103412,Fenner
80104103413,Fenner
80104103414,Fenner
80104103505,Fenner
80104103506,Fenner
80104103507,Fenner
80104103512,Fenner
80104103513,Fenner
80104103514,Fenner
80104103515,Fenner
80104103518,Fenner
80104103520,Fenner
80104103604,Fenner
80104103605,Fenner
80104103606,Fenner
80104103607,Fenner
80104103610,Fenner
80104103612,Fenner
80104103613,Fenner
80104103615,Fenner
80104103618,Fenner
80104103702,Fenner
80104103704,Fenner
80104103705,Fenner
80104103707,Fenner
80104103710,Fenner
80104103712,Fenner
80104103713,Fenner
80104103804,Fenner
80104103805,Fenner
80104103807,Fenner
80104103808,Fenner
80104103810,Fenner
80104103811,Fenner
80104103813,Fenner
80104103908,Fenner
80104103910,Fenner
80104103911,Fenner
80104103913,Fenner
80104103916,Fenner
80104103918,Fenner
80104103919,Fenner
80104103920,Fenner
80104103921,Fenner
80104103926,Fenner
80104103927,Fenner
80104103928,Fenner
80104103929,Fenner
80104104002,Fenner
80104104005,Fenner
80104104008,Fenner
80104104013,Fenner
80104104018,Fenner
80104104019,Fenner
80104104021,Fenner
80104104026,Fenner
80104104027,Fenner
80104104029,Fenner
80104104032,Fenner
80104104301,Fenner
80104104402,Fenner
80104104405,Fenner
80104104410,Fenner
80104104411,Fenner
80104104413,Fenner
80104104416,Fenner
80104104417,Fenner
80104104418,Fenner
80104104419,Fenner
80104104422,Fenner
80101100104,Canberra
80101100105,Canberra
80101100106,Canberra
80101100209,Fenner
80101100212,Fenner
80101100215,Fenner
80101100220,Fenner
80101100221,Fenner
80101100222,Fenner
80101100223,Fenner
80101100304,Canberra
80101100306,Canberra
80101100307,Canberra
80101100309,Canberra
80101100312,Canberra
80101100314,Canberra
80101100315,Canberra
80101100320,Canberra
80101100321,Canberra
80101100401,Fenner
80101100404,Fenner
80101100405,Fenner
80101100406,Fenner
80101100504,Canberra
80101100505,Canberra
80101100506,Canberra
80101100507,Canberra
80101100604,Fenner
80101100605,Fenner
80101100606,Fenner
80101100607,Fenner
80101100610,Fenner
80101100611,Fenner
80101100612,Fenner
80101100613,Fenner
80101100618,Fenner
80101100619,Fenner
80101100620,Fenner
80101100704,Fenner
80101100705,Fenner
80101100710,Fenner
80101100711,Fenner
80101100712,Fenner
80101100713,Fenner
80101100802,Fenner
80101100803,Fenner
80101100804,Fenner
80101100805,Fenner
80101100810,Fenner
80101100811,Fenner
80101100812,Fenner
80101100902,Fenner
80101100903,Fenner
80101100904,Fenner
80101100905,Fenner
80101100910,Fenner
80101101002,Fenner
80101101003,Fenner
80101101004,Fenner
80101101005,Fenner
80101101102,Canberra
80101101103,Canberra
80101101104,Canberra
80101101105,Canberra
80101101110,Canberra
80101101302,Canberra
80101101303,Canberra
80101101304,Canberra
80101101305,Canberra
80101101310,Canberra
80101101402,Fenner
80101101403,Fenner
80101101404,Fenner
80101101405,Fenner
80101101502,Fenner
80101101503,Fenner
80101101508,Fenner
80101101509,Fenner
80101101510,Fenner
80101101511,Fenner
80101101516,Fenner
80101101517,Fenner
80101101601,Canberra
80101101602,Canberra
80101101603,Canberra
80101101608,Canberra
80101101609,Canberra
80101101610,Canberra
80101101611,Canberra
80101101616,Canberra
80101101618,Canberra
80101101619,Canberra
80101101701,Fenner
80101101702,Fenner
80101101703,Fenner
80101101708,Fenner
80101101709,Fenner
80101101808,Canberra
80101101810,Canberra
80101101905,Fenner
80101101908,Fenner
80101101909,Fenner
80101101910,Fenner
80101101911,Fenner
80101101916,Fenner
80101101917,Fenner
80101101918,Fenner
80101101919,Fenner
80101102001,Canberra
80101102002,Canberra
80101102003,Canberra
80101102008,Canberra
80101102101,Fenner
80101102102,Fenner
80101102103,Fenner
80101102201,Fenner
80101102202,Fenner
80101102203,Fenner
80101102208,Fenner
80101102301,Fenner
80101102302,Fenner
80101102303,Fenner
80101102306,Fenner
80101102307,Fenner
80101102401,Fenner
80101102406,Fenner
80101102407,Fenner
80101102408,Fenner
80101102501,Fenner
80101102506,Fenner
80101102601,Canberra
80101102604,Canberra
80101102606,Canberra
80101102607,Canberra
80101111101,Fenner
80101114301,Fenner
80101114302,Fenner
80101114401,Fenner
80103103102,Bean
80103103103,Bean
80103103201,Canberra
80103111302,Bean
80103111303,Bean
80103111305,Bean
80103111502,Canberra
80103111503,Canberra
80103111504,Canberra
80103111505,Canberra
80104103401,Fenner
80104103403,Fenner
80104103406,Fenner
80104103408,Fenner
80104103409,Fenner
80104103410,Fenner
80104103411,Fenner
80104103501,Fenner
80104103508,Fenner
80104103509,Fenner
80104103510,Fenner
80104103511,Fenner
80104103516,Fenner
80104103517,Fenner
80104103519,Fenner
80104103522,Fenner
80104103601,Fenner
80104103608,Fenner
80104103609,Fenner
80104103611,Fenner
